{projectIO.credits.table.headDesc},{projectIO.credits.table.bodyDesc},{projectIO.credits.table.tailDesc},{projectIO.credits.table.vGapDesc},{projectIO.credits.table.contentStyleDesc},{projectIO.credits.table.breakHarmonizationDesc},{projectIO.credits.table.spinePosDesc},{projectIO.credits.table.pageStyleDesc},{projectIO.credits.table.pageRuntimeDesc},{projectIO.credits.table.pageGapDesc}
@{projectIO.credits.table.head},@{projectIO.credits.table.body},@{projectIO.credits.table.tail},@{projectIO.credits.table.vGap},@{projectIO.credits.table.contentStyle},@{projectIO.credits.table.breakHarmonization},@{projectIO.credits.table.spinePos},@{projectIO.credits.table.pageStyle},@{projectIO.credits.table.pageRuntime},@{projectIO.credits.table.pageGap}
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A,Studios Misr,Film,,{project.PageBehavior.CARD},,,{project.PageBehavior.CARD},,
A,Studios Misr,Film,,{project.PageBehavior.CARD},,,{project.PageBehavior.CARD},,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Executive Producers,أحمد رمضان,,,,,,{project.PageBehavior.CARD},,
,Ahmed Ramadan,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Cast,,,{project.template.contentStyleHeading},,,{project.PageBehavior.SCROLL},,
,(in order of appearance),,,{project.template.contentStyleSubheading},,,,,
,,,,,,,,,
Figure01,Artist01,,,{project.template.contentStyleGutter},,,,,
Figure02,Artist02,,,,,,,,
Figure01,Artist01,,,{project.template.contentStyleGutter},,,,,
Figure02,Artist02,,,,,,,,
,,,,,,,,,
Figure03,Artist03,,,,,,,,
Figure04,Artist04,,,,,,,,
Figure05,Artist05,,,,,,,,
Figure03,Artist03,,,,,,,,
Figure04,Artist04,,,,,,,,
Figure05,Artist05,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Crew,,,{project.template.contentStyleHeading},,,,,
,,,,,,,,,
1st Assistant Director,mr. AssistantDirector #1,,,{project.template.contentStyleGutter},,,,,
2nd Assistant Director,mr. AssistantDirector #2,,,,,,,,
1st Assistant Director,mr. AssistantDirector #1,,,{project.template.contentStyleGutter},,,,,
2nd Assistant Director,mr. AssistantDirector #2,,,,,,,,
,,,,,,,,,
Director of Photography,Jesus christ,,,,,,,,
1st Assistant Camera,Eslam,,,,,,,,
2nd Assistant Camera,Ibrahiem,,,,,,,,
,Hmada w Myada,,,,,,,,
Director of Photography,Jesus christ,,,,,,,,
1st Assistant Camera,Eslam,,,,,,,,
2nd Assistant Camera,Ibrahiem,,,,,,,,
,Hmada w Myada,,,,,,,,
,,,,,,,,,
Gaffer,Jesus,,,,,,,,
Key Grip,Abdelrahman,,,,,,,,
Best Boy,Hamdy,,,,,,,,
Gaffer,Jesus,,,,,,,,
Key Grip,Abdelrahman,,,,,,,,
Best Boy,Hamdy,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Extras,,,{project.template.contentStyleHeading},,,,,
,,,,,,,,,
Restaurant,Omar Eater,,,{project.template.contentStyleBullets},,,,,
,Mohamed Muncher,,,,,,,,
,Ali Delicious,,,,,,,,
Restaurant,Omar Eater,,,{project.template.contentStyleBullets},,,,,
,Mohamed Muncher,,,,,,,,
,Ali Delicious,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Songs,,,{project.template.contentStyleHeading},,,,,
,,,,,,,,,
"“Look, It’s CredGen”",Written by Ahmed Ramadan,,,{project.template.contentStyleSong},,-<200>,,,
,Pipeline Technical Director,,,,,,,,
"“Look, It’s CredGen”",Written by Ahmed Ramadan,,,{project.template.contentStyleSong},,-<200>,,,
,Pipeline Technical Director,,,,,,,,
,,,,,,,,,
“Hoppe hoppe Reiter”,Written by An Unknown Lad,,,,,<200> {projectIO.credits.table.parallel},,,
,in Ancient Egyptian Times,,,,,,,,
,in Ancient Egyptian Times,,,,,,,,
,{{{blank}}},,,,,,,,
,,,,,,,,,
"“Kitaty Saghira”",Written Ali Hassan,,,,,0,,,
,Dead pixel,,,,,,,,
"“Kitaty Saghira”",Written Ali Hassan,,,,,0,,,
,Dead pixel,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Special Thanks,,,{project.template.contentStyleHeading},,,,,
,,,,,,,,,
,Mostafa Ezzat,,,{project.template.contentStyleTabular},,,,,
,Mostafa Ezzat,,,{project.template.contentStyleTabular},,,,,
,,,6,,,,,,
,{{{projectIO.credits.table.pic} CredGen V}},,,{project.template.contentStyleLogos},,,,,
,{{{projectIO.credits.table.pic} CredGen H}},,,,,,,,
,,,8,,,,,,
,"Here’s to all the lawyers who rejoice us by dint of their writing and printing and scripture; those finest of people who uswards bestow the greatest of delights in virtue of their wonderous wisdom, which wretched creatures as thee and me may never fully fathom ourself.",,,{project.template.contentStyleBlurb},,,,,
,Go now henceforth and forevermore recite thy verbiage which brings thee the most splendid of joys.,,,,,,,,
,,,15,,,,,,{projectIO.credits.table.melt}
,Copyright © 2025 AROMA Pipeline Developers Team,,,,,,{project.PageBehavior.CARD},[3s],
,Copyright © 2025 AROMA Pipeline Developers Team,,,,,,{project.PageBehavior.CARD},[3s],
